sample	Date	Treatment	Dye	p_live	p_intermediate	p_dead	FSC_live	FSC_intermediate	BL1_live	BL1_intermediate
011124_Dye Order_Experiment_Plate_0_p.fcs	011124	0	PI alone	0.9933428922572716	0	0.00665710774272843	414660	NA	73	NA
011124_Dye Order_Experiment_Plate_0_pf.fcs	011124	0	PI first	0.7759888894604187	0.21326063474101126	0.01075047579857008	412039	436111	2132	8942
011124_Dye Order_Experiment_Plate_0_sf.fcs	011124	0	SYTO9+PI	0.8975578474857051	0.09512103884999733	0.0073211136642975655	405841.5	482793	2059	7509.5
011124_Dye Order_Experiment_Plate_10_p.fcs	011124	10	PI alone	0.9900889317475624	0	0.009911068252437594	508718	NA	77	NA
011124_Dye Order_Experiment_Plate_10_pf.fcs	011124	10	PI first	0.9430183969175666	0.04770174200900852	0.009279861073424864	493254	670491	2385	4872
011124_Dye Order_Experiment_Plate_10_sf.fcs	011124	10	SYTO9+PI	0.9468230991924425	0.04179998984204378	0.01137691096551377	510842.5	687909	2280	4942
011124_Dye Order_Experiment_Plate_100_p.fcs	011124	100	PI alone	0.9864794591783671	0	0.013520540821632898	396592	NA	71	NA
011124_Dye Order_Experiment_Plate_100_pf.fcs	011124	100	PI first	0.6371223325586309	0.3443904500316924	0.01848721740967668	380278.5	455175.5	2061.5	9484
011124_Dye Order_Experiment_Plate_100_sf.fcs	011124	100	SYTO9+PI	0.4373083661848445	0.5473609286027157	0.015330705212439844	380901	435343	1397	11872
011124_Dye Order_Experiment_Plate_1000_p.fcs	011124	1000	PI alone	0.001206589025285909	0	0.9987934109747141	305405	NA	76	NA
011124_Dye Order_Experiment_Plate_1000_pf.fcs	011124	1000	PI first	5.631783739504403e-4	2.0479213598197828e-4	0.9992320294900675	344391	312360.5	3035	9058
011124_Dye Order_Experiment_Plate_1000_sf.fcs	011124	1000	SYTO9+PI	5.288766659614978e-4	3.1732599957689866e-4	0.9991537973344616	203864	327406.5	1179	10968
011524_Dye Order_Experiment_Plate_0_p.fcs	011524	0	PI alone	0.9976040890214035	0	0.0023959109785964827	412441	NA	72	NA
011524_Dye Order_Experiment_Plate_0_pf.fcs	011524	0	PI first	0.5938076686487594	0.3997334426901784	0.006458888661062145	412792.5	408852	2166.5	11154.5
011524_Dye Order_Experiment_Plate_0_sf.fcs	011524	0	SYTO9+PI	0.6924639447491368	0.30342270972983953	0.004113345521023715	398157	415064	2233	10249
011524_Dye Order_Experiment_Plate_10_p.fcs	011524	10	PI alone	0.9882346533035569	0	0.011765346696443135	506095	NA	78	NA
011524_Dye Order_Experiment_Plate_10_pf.fcs	011524	10	PI first	0.9171791036507673	0.06365298321422636	0.019167913135006376	490408.5	680341	2431	5119
011524_Dye Order_Experiment_Plate_10_sf.fcs	011524	10	SYTO9+PI	0.9143788056831536	0.0701848093152441	0.015436385001602354	480299	647181	2447	5266
011524_Dye Order_Experiment_Plate_100_p.fcs	011524	100	PI alone	0.9897646414887794	0	0.010235358511220594	397563	NA	71	NA
011524_Dye Order_Experiment_Plate_100_pf.fcs	011524	100	PI first	0.47783225537241814	0.501512622574588	0.020655122052993913	365087	409669	1644	11151
011524_Dye Order_Experiment_Plate_100_sf.fcs	011524	100	SYTO9+PI	0.3595837294241257	0.6285585630659929	0.011857707509881354	371310	412758	1380	13136
011524_Dye Order_Experiment_Plate_1000_p.fcs	011524	1000	PI alone	0.0018532246108228317	0	0.9981467753891772	327944	NA	75	NA
011524_Dye Order_Experiment_Plate_1000_pf.fcs	011524	1000	PI first	3.45866890656653e-4	0	0.9996541331093434	272611	NA	1754	NA
011524_Dye Order_Experiment_Plate_1000_sf.fcs	011524	1000	SYTO9+PI	4.3560331058516046e-4	2.4200183921397803e-4	0.9993223948502009	416363	387519	2719	12734
011624_Dye Order_Experiment_Plate_0_p.fcs	011624	0	PI alone	0.9979553403282216	0	0.0020446596717783594	410774	NA	71	NA
011624_Dye Order_Experiment_Plate_0_pf.fcs	011624	0	PI first	0.9228283492167817	0.07333771497425785	0.003833935808960451	397254	400863	1439	8575
011624_Dye Order_Experiment_Plate_0_sf.fcs	011624	0	SYTO9+PI	0.8002219169396597	0.19644932896544437	0.003328754094895914	387982	384857.5	1593	9810.5
011624_Dye Order_Experiment_Plate_10_p.fcs	011624	10	PI alone	0.985366964641576	0	0.014633035358423974	442471	NA	74	NA
011624_Dye Order_Experiment_Plate_10_pf.fcs	011624	10	PI first	0.9563903992969737	0.023287746471137474	0.020321854231888856	448755	576279	1687	5472
011624_Dye Order_Experiment_Plate_10_sf.fcs	011624	10	SYTO9+PI	0.9490090942543237	0.03264469326604637	0.01834621247962996	443723	547754	1714	6119
011624_Dye Order_Experiment_Plate_100_p.fcs	011624	100	PI alone	0.9799029799029799	0	0.02009702009702008	373403	NA	71	NA
011624_Dye Order_Experiment_Plate_100_pf.fcs	011624	100	PI first	0.2729519402671154	0.7031759385844989	0.02387212114838566	331494	386652	2291	14046
011624_Dye Order_Experiment_Plate_100_sf.fcs	011624	100	SYTO9+PI	0.2193433443624332	0.7590735556121151	0.021583100025451718	340485	390025.5	1824	15947.5
011624_Dye Order_Experiment_Plate_1000_p.fcs	011624	1000	PI alone	0.001162496841041193	0	0.9988375031589588	341867	NA	65	NA
011624_Dye Order_Experiment_Plate_1000_pf.fcs	011624	1000	PI first	4.929346040092015e-4	1.0954102311315588e-4	0.9993975243728777	240910	291143.5	313	12557
011624_Dye Order_Experiment_Plate_1000_sf.fcs	011624	1000	SYTO9+PI	6.421338602123981e-4	2.9636947394418375e-4	0.9990614966658434	278007	378636.5	575	23836
