Date	Time	name
120423	0	120423_SYTO9 Timeline_Experiment_Tubes_0.fcs
120423	10	120423_SYTO9 Timeline_Experiment_Tubes_10.fcs
120423	15	120423_SYTO9 Timeline_Experiment_Tubes_15.fcs
120423	20	120423_SYTO9 Timeline_Experiment_Tubes_20.fcs
120423	25	120423_SYTO9 Timeline_Experiment_Tubes_25.fcs
120423	30	120423_SYTO9 Timeline_Experiment_Tubes_30.fcs
120423	35	120423_SYTO9 Timeline_Experiment_Tubes_35.fcs
120423	40	120423_SYTO9 Timeline_Experiment_Tubes_40.fcs
120423	45	120423_SYTO9 Timeline_Experiment_Tubes_45.fcs
120423	5	120423_SYTO9 Timeline_Experiment_Tubes_5.fcs
120423	50	120423_SYTO9 Timeline_Experiment_Tubes_50.fcs
120423	55	120423_SYTO9 Timeline_Experiment_Tubes_55.fcs
121323	0	121323_SYTO9 Timeline_Experiment_Tubes_0.fcs
121323	10	121323_SYTO9 Timeline_Experiment_Tubes_10.fcs
121323	15	121323_SYTO9 Timeline_Experiment_Tubes_15.fcs
121323	20	121323_SYTO9 Timeline_Experiment_Tubes_20.fcs
121323	25	121323_SYTO9 Timeline_Experiment_Tubes_25.fcs
121323	30	121323_SYTO9 Timeline_Experiment_Tubes_30.fcs
121323	35	121323_SYTO9 Timeline_Experiment_Tubes_35.fcs
121323	40	121323_SYTO9 Timeline_Experiment_Tubes_40.fcs
121323	45	121323_SYTO9 Timeline_Experiment_Tubes_45.fcs
121323	5	121323_SYTO9 Timeline_Experiment_Tubes_5.fcs
121323	50	121323_SYTO9 Timeline_Experiment_Tubes_50.fcs
121323	55	121323_SYTO9 Timeline_Experiment_Tubes_55.fcs
121323	60	121323_SYTO9 Timeline_Experiment_Tubes_60.fcs
121423	0	121423_SYTO9 Timeline_Experiment_Tubes_0.fcs
121423	10	121423_SYTO9 Timeline_Experiment_Tubes_10.fcs
121423	15	121423_SYTO9 Timeline_Experiment_Tubes_15.fcs
121423	20	121423_SYTO9 Timeline_Experiment_Tubes_20.fcs
121423	25	121423_SYTO9 Timeline_Experiment_Tubes_25.fcs
121423	30	121423_SYTO9 Timeline_Experiment_Tubes_30.fcs
121423	35	121423_SYTO9 Timeline_Experiment_Tubes_35.fcs
121423	40	121423_SYTO9 Timeline_Experiment_Tubes_40.fcs
121423	45	121423_SYTO9 Timeline_Experiment_Tubes_45.fcs
121423	5	121423_SYTO9 Timeline_Experiment_Tubes_5.fcs
121423	50	121423_SYTO9 Timeline_Experiment_Tubes_50.fcs
121423	55	121423_SYTO9 Timeline_Experiment_Tubes_55.fcs
121423	60	121423_SYTO9 Timeline_Experiment_Tubes_60.fcs
121523	0	121523_SYTO9 Timeline_Experiment_Tubes_0.fcs
121523	10	121523_SYTO9 Timeline_Experiment_Tubes_10.fcs
121523	15	121523_SYTO9 Timeline_Experiment_Tubes_15.fcs
121523	20	121523_SYTO9 Timeline_Experiment_Tubes_20.fcs
121523	25	121523_SYTO9 Timeline_Experiment_Tubes_25.fcs
121523	30	121523_SYTO9 Timeline_Experiment_Tubes_30.fcs
121523	35	121523_SYTO9 Timeline_Experiment_Tubes_35.fcs
121523	40	121523_SYTO9 Timeline_Experiment_Tubes_40.fcs
121523	45	121523_SYTO9 Timeline_Experiment_Tubes_45.fcs
121523	5	121523_SYTO9 Timeline_Experiment_Tubes_5.fcs
121523	50	121523_SYTO9 Timeline_Experiment_Tubes_50.fcs
121523	55	121523_SYTO9 Timeline_Experiment_Tubes_55.fcs
121523	60	121523_SYTO9 Timeline_Experiment_Tubes_60.fcs
