Date	Time	FSC.A	SSC.A	FSC.H	SSC.H	BL1.H	BL3.H	FSC.W	SSC.W	name
050624	0	331060	199199.5	335265.5	198156.5	69	708	106	101	050624_PI_Timecourse_Experiment_Tubes_0.fcs
050624	10	326620.5	197335.5	331845	196385.5	70	1764	105	101	050624_PI_Timecourse_Experiment_Tubes_10.fcs
050624	15	328248.5	201856	332026.5	200708.5	70	1790	106	101	050624_PI_Timecourse_Experiment_Tubes_15.fcs
050624	20	328521.5	197911.5	331650.5	195931.5	70	1759	106	101	050624_PI_Timecourse_Experiment_Tubes_20.fcs
050624	25	323241.5	197653.5	327876	196906.5	70	1740	105	101	050624_PI_Timecourse_Experiment_Tubes_25.fcs
050624	30	318971.5	194505	324085	194326	70	1696	105	100	050624_PI_Timecourse_Experiment_Tubes_30.fcs
050624	35	322432.5	193324.5	326210	192077.5	70	1690	105	101	050624_PI_Timecourse_Experiment_Tubes_35.fcs
050624	40	319064	191576.5	322416	190722.5	69	1634	105	101	050624_PI_Timecourse_Experiment_Tubes_40.fcs
050624	45	314753.5	189704	320079.5	189458	69	1614	105	100	050624_PI_Timecourse_Experiment_Tubes_45.fcs
050624	5	330877.5	202313.5	334174	200700.5	70	1748	106	101	050624_PI_Timecourse_Experiment_Tubes_5.fcs
050624	50	315597.5	189024.5	320744.5	188826.5	69	1547	105	100	050624_PI_Timecourse_Experiment_Tubes_50.fcs
050624	55	327902	198680.5	332181.5	197036	70	1460	106	101	050624_PI_Timecourse_Experiment_Tubes_55.fcs
050724	0	317796	180806	321704	180314.5	68	603	105	100	050724_PI_Timecourse_Experiment_Tubes_0.fcs
050724	10	314797	184835	319941	184158	69	1712	105	100	050724_PI_Timecourse_Experiment_Tubes_10.fcs
050724	15	316548.5	184199	321189	183730	69	1705	105	101	050724_PI_Timecourse_Experiment_Tubes_15.fcs
050724	20	314362	182287.5	319188.5	182195.5	68	1621	105	100	050724_PI_Timecourse_Experiment_Tubes_20.fcs
050724	25	309389.5	180452.5	315841.5	181207.5	69	1696	105	100	050724_PI_Timecourse_Experiment_Tubes_25.fcs
050724	30	311574.5	181756	315778.5	181594.5	68	1659	105	100	050724_PI_Timecourse_Experiment_Tubes_30.fcs
050724	35	310528.5	179804	315234	179910.5	68	1623	105	100	050724_PI_Timecourse_Experiment_Tubes_35.fcs
050724	40	306636.5	177406.5	312659.5	177935	68	1564	104	100	050724_PI_Timecourse_Experiment_Tubes_40.fcs
050724	45	305952	176998.5	310768.5	177232	68	1544	105	100	050724_PI_Timecourse_Experiment_Tubes_45.fcs
050724	5	316351.5	184402	320868.5	183766	69	1692	105	100	050724_PI_Timecourse_Experiment_Tubes_5.fcs
050724	50	308870	182369	313301	182124.5	69	1483	105	100	050724_PI_Timecourse_Experiment_Tubes_50.fcs
050724	55	305929	175200.5	311139	175208.5	68	1269	104	100	050724_PI_Timecourse_Experiment_Tubes_55.fcs
050824	0	343266	204035.5	346001	202266	70	813	107	101	050824_PI_Timecourse_Experiment_Tubes_0.fcs
050824	10	342760.5	209326	346273.5	207903	71	1842	106	101	050824_PI_Timecourse_Experiment_Tubes_10.fcs
050824	15	342739.5	207177	346435.5	205600.5	71	1844	107	101	050824_PI_Timecourse_Experiment_Tubes_15.fcs
050824	20	342216	207639	344307	205322	71	1816	107	102	050824_PI_Timecourse_Experiment_Tubes_20.fcs
050824	25	337066.5	205752	340903.5	204731	71	1802	106	101	050824_PI_Timecourse_Experiment_Tubes_25.fcs
050824	30	337450.5	204000	339931.5	202104.5	71	1754	106	101	050824_PI_Timecourse_Experiment_Tubes_30.fcs
050824	35	334585.5	205091	337418.5	203246	70	1731	106	101	050824_PI_Timecourse_Experiment_Tubes_35.fcs
050824	40	330380	201750	333021	200004.5	70	1651	106	101	050824_PI_Timecourse_Experiment_Tubes_40.fcs
050824	45	327136	194755.5	329797	193504	69	1621	106	101	050824_PI_Timecourse_Experiment_Tubes_45.fcs
050824	5	337772.5	205486	341794	203855.5	71	1822	106	101	050824_PI_Timecourse_Experiment_Tubes_5.fcs
050824	50	325160.5	194967	327026.5	193164	70	1539	106	101	050824_PI_Timecourse_Experiment_Tubes_50.fcs
050824	55	341887.5	210825	343875.5	207108	71	1546	107	102	050824_PI_Timecourse_Experiment_Tubes_55.fcs
