Date	Treatment	Dilution	Dye	name
112023	0 mM	1000 x	PI	112023_dilutions_Experiment_Plate_0_1000_p.fcs
112023	0 mM	1000 x	SYTO9	112023_dilutions_Experiment_Plate_0_1000.fcs
112023	0 mM	2000 x	PI	112023_dilutions_Experiment_Plate_0_2000_p.fcs
112023	0 mM	2000 x	SYTO9	112023_dilutions_Experiment_Plate_0_2000.fcs
112023	0 mM	250 x	PI	112023_dilutions_Experiment_Plate_0_250_p.fcs
112023	0 mM	250 x	SYTO9	112023_dilutions_Experiment_Plate_0_250.fcs
112023	0 mM	500 x	PI	112023_dilutions_Experiment_Plate_0_500_p.fcs
112023	0 mM	500 x	SYTO9	112023_dilutions_Experiment_Plate_0_500.fcs
112023	10 mM	1000 x	PI	112023_dilutions_Experiment_Plate_10_1000_p.fcs
112023	10 mM	1000 x	SYTO9	112023_dilutions_Experiment_Plate_10_1000.fcs
112023	10 mM	2000 x	PI	112023_dilutions_Experiment_Plate_10_2000_p.fcs
112023	10 mM	2000 x	SYTO9	112023_dilutions_Experiment_Plate_10_2000.fcs
112023	10 mM	250 x	PI	112023_dilutions_Experiment_Plate_10_250_p.fcs
112023	10 mM	250 x	SYTO9	112023_dilutions_Experiment_Plate_10_250.fcs
112023	10 mM	500 x	PI	112023_dilutions_Experiment_Plate_10_500_p.fcs
112023	10 mM	500 x	SYTO9	112023_dilutions_Experiment_Plate_10_500.fcs
112023	100 mM	1000 x	PI	112023_dilutions_Experiment_Plate_100_1000_p.fcs
112023	100 mM	1000 x	SYTO9	112023_dilutions_Experiment_Plate_100_1000.fcs
112023	100 mM	2000 x	PI	112023_dilutions_Experiment_Plate_100_2000_p.fcs
112023	100 mM	2000 x	SYTO9	112023_dilutions_Experiment_Plate_100_2000.fcs
112023	100 mM	250 x	PI	112023_dilutions_Experiment_Plate_100_250_p.fcs
112023	100 mM	250 x	SYTO9	112023_dilutions_Experiment_Plate_100_250.fcs
112023	100 mM	500 x	PI	112023_dilutions_Experiment_Plate_100_500_p.fcs
112023	100 mM	500 x	SYTO9	112023_dilutions_Experiment_Plate_100_500.fcs
112023	1000 mM	1000 x	PI	112023_dilutions_Experiment_Plate_1000_1000_p.fcs
112023	1000 mM	1000 x	SYTO9	112023_dilutions_Experiment_Plate_1000_1000.fcs
112023	1000 mM	2000 x	PI	112023_dilutions_Experiment_Plate_1000_2000_p.fcs
112023	1000 mM	2000 x	SYTO9	112023_dilutions_Experiment_Plate_1000_2000.fcs
112023	1000 mM	250 x	PI	112023_dilutions_Experiment_Plate_1000_250_p.fcs
112023	1000 mM	250 x	SYTO9	112023_dilutions_Experiment_Plate_1000_250.fcs
112023	1000 mM	500 x	PI	112023_dilutions_Experiment_Plate_1000_500_p.fcs
112023	1000 mM	500 x	SYTO9	112023_dilutions_Experiment_Plate_1000_500.fcs
112123	0 mM	1000 x	PI	112123_dilutions_Experiment_Plate_0_1000_p.fcs
112123	0 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_0_1000.fcs
112123	0 mM	2000 x	PI	112123_dilutions_Experiment_Plate_0_2000_p.fcs
112123	0 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_0_2000.fcs
112123	0 mM	250 x	PI	112123_dilutions_Experiment_Plate_0_250_p.fcs
112123	0 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_0_250.fcs
112123	0 mM	500 x	PI	112123_dilutions_Experiment_Plate_0_500_p.fcs
112123	0 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_0_500.fcs
112123	10 mM	1000 x	PI	112123_dilutions_Experiment_Plate_10_1000_p.fcs
112123	10 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_10_1000.fcs
112123	10 mM	2000 x	PI	112123_dilutions_Experiment_Plate_10_2000_p.fcs
112123	10 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_10_2000.fcs
112123	10 mM	250 x	PI	112123_dilutions_Experiment_Plate_10_250_p.fcs
112123	10 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_10_250.fcs
112123	10 mM	500 x	PI	112123_dilutions_Experiment_Plate_10_500_p.fcs
112123	10 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_10_500.fcs
112123	100 mM	1000 x	PI	112123_dilutions_Experiment_Plate_100_1000_p.fcs
112123	100 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_100_1000.fcs
112123	100 mM	2000 x	PI	112123_dilutions_Experiment_Plate_100_2000_p.fcs
112123	100 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_100_2000.fcs
112123	100 mM	250 x	PI	112123_dilutions_Experiment_Plate_100_250_p.fcs
112123	100 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_100_250.fcs
112123	100 mM	500 x	PI	112123_dilutions_Experiment_Plate_100_500_p.fcs
112123	100 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_100_500.fcs
112123	1000 mM	1000 x	PI	112123_dilutions_Experiment_Plate_1000_1000_p.fcs
112123	1000 mM	1000 x	SYTO9	112123_dilutions_Experiment_Plate_1000_1000.fcs
112123	1000 mM	2000 x	PI	112123_dilutions_Experiment_Plate_1000_2000_p.fcs
112123	1000 mM	2000 x	SYTO9	112123_dilutions_Experiment_Plate_1000_2000.fcs
112123	1000 mM	250 x	PI	112123_dilutions_Experiment_Plate_1000_250_p.fcs
112123	1000 mM	250 x	SYTO9	112123_dilutions_Experiment_Plate_1000_250.fcs
112123	1000 mM	500 x	PI	112123_dilutions_Experiment_Plate_1000_500_p.fcs
112123	1000 mM	500 x	SYTO9	112123_dilutions_Experiment_Plate_1000_500.fcs
112223	0 mM	1000 x	PI	112223_dilutions_Experiment_Plate_0_1000_p.fcs
112223	0 mM	1000 x	SYTO9	112223_dilutions_Experiment_Plate_0_1000.fcs
112223	0 mM	2000 x	PI	112223_dilutions_Experiment_Plate_0_2000_p.fcs
112223	0 mM	2000 x	SYTO9	112223_dilutions_Experiment_Plate_0_2000.fcs
112223	0 mM	250 x	PI	112223_dilutions_Experiment_Plate_0_250_p.fcs
112223	0 mM	250 x	SYTO9	112223_dilutions_Experiment_Plate_0_250.fcs
112223	0 mM	500 x	PI	112223_dilutions_Experiment_Plate_0_500_p.fcs
112223	0 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_0_500.fcs
112223	10 mM	1000 x	PI	112223_dilutions_Experiment_Plate_10_1000_p.fcs
112223	10 mM	1000 x	SYTO9	112223_dilutions_Experiment_Plate_10_1000.fcs
112223	10 mM	2000 x	PI	112223_dilutions_Experiment_Plate_10_2000_p.fcs
112223	10 mM	2000 x	SYTO9	112223_dilutions_Experiment_Plate_10_2000.fcs
112223	10 mM	250 x	PI	112223_dilutions_Experiment_Plate_10_250_p.fcs
112223	10 mM	250 x	SYTO9	112223_dilutions_Experiment_Plate_10_250.fcs
112223	10 mM	500 x	PI	112223_dilutions_Experiment_Plate_10_500_p.fcs
112223	10 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_10_500.fcs
112223	100 mM	1000 x	PI	112223_dilutions_Experiment_Plate_100_1000_p.fcs
112223	100 mM	1000 x	SYTO9	112223_dilutions_Experiment_Plate_100_1000.fcs
112223	100 mM	2000 x	PI	112223_dilutions_Experiment_Plate_100_2000_p.fcs
112223	100 mM	2000 x	SYTO9	112223_dilutions_Experiment_Plate_100_2000.fcs
112223	100 mM	250 x	PI	112223_dilutions_Experiment_Plate_100_250_p.fcs
112223	100 mM	250 x	SYTO9	112223_dilutions_Experiment_Plate_100_250.fcs
112223	100 mM	500 x	PI	112223_dilutions_Experiment_Plate_100_500_p.fcs
112223	100 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_100_500.fcs
112223	1000 mM	1000 x	PI	112223_dilutions_Experiment_Plate_1000_1000_p.fcs
112223	1000 mM	1000 x	SYTO9	112223_dilutions_Experiment_Plate_1000_1000.fcs
112223	1000 mM	2000 x	PI	112223_dilutions_Experiment_Plate_1000_2000_p.fcs
112223	1000 mM	2000 x	SYTO9	112223_dilutions_Experiment_Plate_1000_2000.fcs
112223	1000 mM	250 x	PI	112223_dilutions_Experiment_Plate_1000_250_p.fcs
112223	1000 mM	250 x	SYTO9	112223_dilutions_Experiment_Plate_1000_250.fcs
112223	1000 mM	500 x	PI	112223_dilutions_Experiment_Plate_1000_500_p.fcs
112223	1000 mM	500 x	SYTO9	112223_dilutions_Experiment_Plate_1000_500.fcs
