Date	Treatment	sample	n_root	n_cells	n_singlet	n_live	n_inter	n_dead	percent_Dead	percent_Live	percent_inter	FGS	name
032524	0.02	032524_Cg AmpB_Experiment_Plate_0.02.fcs	30000	29578	18330	15156	2660	260	0.014184397163120567	0.8268412438625204	0.14511729405346427	0.885215493726132	032524_Cg AmpB_Experiment_Plate_0.02.fcs
032524	0.04	032524_Cg AmpB_Experiment_Plate_0.04.fcs	30000	28994	18154	13412	3015	714	0.03933017516800705	0.7387903492343285	0.16607910102456758	0.7824997245786052	032524_Cg AmpB_Experiment_Plate_0.04.fcs
032524	0.06	032524_Cg AmpB_Experiment_Plate_0.06.fcs	30000	29599	19173	8194	9411	1546	0.08063422521253846	0.4273718249621864	0.49084650289469567	0.5921608511969958	032524_Cg AmpB_Experiment_Plate_0.06.fcs
032524	0.08	032524_Cg AmpB_Experiment_Plate_0.08.fcs	30000	29587	19269	1033	13831	4381	0.22736000830349265	0.05360942446416524	0.7177850433338523	0.18514193782759872	032524_Cg AmpB_Experiment_Plate_0.08.fcs
032524	0.1	032524_Cg AmpB_Experiment_Plate_0.1.fcs	30000	29666	19639	442	13223	5943	0.3026121492947706	0.02250623758847192	0.6733031213401904	0.056545648963796546	032524_Cg AmpB_Experiment_Plate_0.1.fcs
032524	0	032524_Cg AmpB_Experiment_Plate_0.fcs	30000	29229	18157	2423	14491	810	0.04461089387013273	0.13344715536707605	0.7980943988544363	0.48788346092416146	032524_Cg AmpB_Experiment_Plate_0.fcs
032524	1	032524_Cg AmpB_Experiment_Plate_1.fcs	30000	29463	17865	49	421	17339	0.9705569549398265	0.002742793171004758	0.023565631122306186	-0.9560313462076687	032524_Cg AmpB_Experiment_Plate_1.fcs
032624	0.02	032624_Cg AmpB_Experiment_Plate_0.02.fcs	30000	29826	17669	16044	1478	96	0.005433244665798856	0.908031014771634	0.08364932933386157	0.9444224347727659	032624_Cg AmpB_Experiment_Plate_0.02.fcs
032624	0.04	032624_Cg AmpB_Experiment_Plate_0.04.fcs	30000	29888	19564	18557	843	115	0.005878143528930689	0.9485279084031896	0.043089347781639746	0.9641944387650787	032624_Cg AmpB_Experiment_Plate_0.04.fcs
032624	0.06	032624_Cg AmpB_Experiment_Plate_0.06.fcs	30000	29771	18453	12495	4579	1345	0.07288787730992251	0.6771256706226629	0.2481439332357882	0.7283097599306345	032624_Cg AmpB_Experiment_Plate_0.06.fcs
032624	0.08	032624_Cg AmpB_Experiment_Plate_0.08.fcs	30000	29796	18851	12129	5048	1628	0.08636146623521299	0.6434141424858097	0.26778420242957934	0.6909447774653864	032624_Cg AmpB_Experiment_Plate_0.08.fcs
032624	0.1	032624_Cg AmpB_Experiment_Plate_0.1.fcs	30000	29772	17553	7159	8282	2093	0.1192388765453199	0.40785050988435023	0.47182817751951234	0.5245257220987865	032624_Cg AmpB_Experiment_Plate_0.1.fcs
032624	0	032624_Cg AmpB_Experiment_Plate_0.fcs	30000	29906	18559	3646	14687	70	0.0037717549436930868	0.1964545503529285	0.7913680694002909	0.5883668301093808	032624_Cg AmpB_Experiment_Plate_0.fcs
032624	1	032624_Cg AmpB_Experiment_Plate_1.fcs	30000	29736	18051	30	171	17839	0.9882554983103429	0.0016619577862722287	0.009473159381751703	-0.9818569608331948	032624_Cg AmpB_Experiment_Plate_1.fcs
032824	0.02	032824_Cg AmpB_Experiment_Plate_0.02.fcs	30000	28088	16734	9725	6059	787	0.04702999880482849	0.5811521453328553	0.3620772080793594	0.7151607505677066	032824_Cg AmpB_Experiment_Plate_0.02.fcs
032824	0.04	032824_Cg AmpB_Experiment_Plate_0.04.fcs	30000	29843	17762	16174	1356	176	0.009908794054723568	0.9105956536426079	0.07634275419434748	0.9388582366850581	032824_Cg AmpB_Experiment_Plate_0.04.fcs
032824	0.06	032824_Cg AmpB_Experiment_Plate_0.06.fcs	30000	29769	17666	15101	1941	600	0.03396354579418091	0.8548058417298766	0.10987207064417526	0.8757783312577834	032824_Cg AmpB_Experiment_Plate_0.06.fcs
032824	0.08	032824_Cg AmpB_Experiment_Plate_0.08.fcs	30000	29781	17805	9766	6352	1658	0.09311991013760179	0.5484976130300477	0.35675372086492557	0.6337545633249088	032824_Cg AmpB_Experiment_Plate_0.08.fcs
032824	0.1	032824_Cg AmpB_Experiment_Plate_0.1.fcs	30000	29805	18270	9562	6888	1801	0.09857690202517788	0.5233716475095785	0.37701149425287356	0.6133004926108374	032824_Cg AmpB_Experiment_Plate_0.1.fcs
032824	0	032824_Cg AmpB_Experiment_Plate_0.fcs	30000	28593	16820	2034	13912	722	0.042925089179548154	0.12092746730083234	0.8271105826397146	0.49155766944114143	032824_Cg AmpB_Experiment_Plate_0.fcs
032824	1	032824_Cg AmpB_Experiment_Plate_1.fcs	30000	29736	18923	33	315	18563	0.9809755324208635	0.0017439095280875126	0.01664640913174444	-0.9709084183269038	032824_Cg AmpB_Experiment_Plate_1.fcs
032924	0.02	032924_Cg AmpB_Experiment_Plate_0.02.fcs	30000	29722	18219	17177	806	217	0.011910642735605687	0.9428069597672759	0.04423953016082112	0.9530160821120808	032924_Cg AmpB_Experiment_Plate_0.02.fcs
032924	0.04	032924_Cg AmpB_Experiment_Plate_0.04.fcs	30000	29732	18318	17138	929	237	0.012938093678349165	0.9355824871710885	0.05071514357462605	0.9480019652800523	032924_Cg AmpB_Experiment_Plate_0.04.fcs
032924	0.06	032924_Cg AmpB_Experiment_Plate_0.06.fcs	30000	29639	17521	10339	6007	1142	0.06517892814337081	0.5900918897323212	0.3428457279835626	0.6963358255807317	032924_Cg AmpB_Experiment_Plate_0.06.fcs
032924	0.08	032924_Cg AmpB_Experiment_Plate_0.08.fcs	30000	29654	19134	2369	13605	3147	0.16447162119786768	0.12381101703773388	0.7110379429288178	0.31485836730427513	032924_Cg AmpB_Experiment_Plate_0.08.fcs
032924	0.1	032924_Cg AmpB_Experiment_Plate_0.1.fcs	30000	29622	18452	361	9657	8408	0.45566876219380015	0.019564274875352266	0.5233579015824843	-0.17442553652720572	032924_Cg AmpB_Experiment_Plate_0.1.fcs
032924	0	032924_Cg AmpB_Experiment_Plate_0.fcs	30000	29761	18312	5001	13050	85	0.00464176496286588	0.2730996068152031	0.7126474442988204	0.6247815640017476	032924_Cg AmpB_Experiment_Plate_0.fcs
032924	1	032924_Cg AmpB_Experiment_Plate_1.fcs	30000	29490	18344	24	30	18287	0.9968927169646751	0.0013083296990841692	0.0016354121238552116	-0.9947666812036633	032924_Cg AmpB_Experiment_Plate_1.fcs
