Date	Treatment	name
032524	0.02	032524_Cg AmpB_Experiment_Plate_0.02.fcs
032524	0.04	032524_Cg AmpB_Experiment_Plate_0.04.fcs
032524	0.06	032524_Cg AmpB_Experiment_Plate_0.06.fcs
032524	0.08	032524_Cg AmpB_Experiment_Plate_0.08.fcs
032524	0.1	032524_Cg AmpB_Experiment_Plate_0.1.fcs
032524	0	032524_Cg AmpB_Experiment_Plate_0.fcs
032524	1	032524_Cg AmpB_Experiment_Plate_1.fcs
032624	0.02	032624_Cg AmpB_Experiment_Plate_0.02.fcs
032624	0.04	032624_Cg AmpB_Experiment_Plate_0.04.fcs
032624	0.06	032624_Cg AmpB_Experiment_Plate_0.06.fcs
032624	0.08	032624_Cg AmpB_Experiment_Plate_0.08.fcs
032624	0.1	032624_Cg AmpB_Experiment_Plate_0.1.fcs
032624	0	032624_Cg AmpB_Experiment_Plate_0.fcs
032624	1	032624_Cg AmpB_Experiment_Plate_1.fcs
032824	0.02	032824_Cg AmpB_Experiment_Plate_0.02.fcs
032824	0.04	032824_Cg AmpB_Experiment_Plate_0.04.fcs
032824	0.06	032824_Cg AmpB_Experiment_Plate_0.06.fcs
032824	0.08	032824_Cg AmpB_Experiment_Plate_0.08.fcs
032824	0.1	032824_Cg AmpB_Experiment_Plate_0.1.fcs
032824	0	032824_Cg AmpB_Experiment_Plate_0.fcs
032824	1	032824_Cg AmpB_Experiment_Plate_1.fcs
032924	0.02	032924_Cg AmpB_Experiment_Plate_0.02.fcs
032924	0.04	032924_Cg AmpB_Experiment_Plate_0.04.fcs
032924	0.06	032924_Cg AmpB_Experiment_Plate_0.06.fcs
032924	0.08	032924_Cg AmpB_Experiment_Plate_0.08.fcs
032924	0.1	032924_Cg AmpB_Experiment_Plate_0.1.fcs
032924	0	032924_Cg AmpB_Experiment_Plate_0.fcs
032924	1	032924_Cg AmpB_Experiment_Plate_1.fcs
