Date	Strain	Concentration	Oxidant	rM	rP	ASR_score	Label
8/23/23	yH181	1 mM	tBOOH	0.3221491228070175	0.34657534246575344	1.075822710445089	tBOOH_1 mM
8/23/23	yH181	1.5 mM	tBOOH	0.32346491228070173	0.34356164383561644	1.062129556535872	tBOOH_1.5 mM
8/23/23	yH181	2mM	tBOOH	0.05964912280701754	0.0463013698630137	0.7762288477034649	tBOOH_2mM
8/25/23	yH181	1 mM	tBOOH	0.23840830449826989	0.39326923076923076	1.6495617952439434	tBOOH_1 mM
8/25/23	yH181	1.5 mM	tBOOH	0.19792387543252596	0.3817307692307692	1.9286746906939212	tBOOH_1.5 mM
8/25/23	yH181	2mM	tBOOH	0.07975778546712803	0.07660256410256411	0.960439957728461	tBOOH_2mM
8/26/23	yH181	0.5 mM	tBOOH	0.3036876355748373	0.296875	0.9775669642857143	tBOOH_0.5 mM
8/26/23	yH181	1 mM	tBOOH	0.23644251626898047	0.2544642857142857	1.0762205111402359	tBOOH_1 mM
8/26/23	yH181	1.5 mM	tBOOH	0.021691973969631236	0.019866071428571427	0.9158258928571428	tBOOH_1.5 mM
8/26/23	yH181	2mM	tBOOH	0.014099783080260303	0.009821428571428571	0.696565934065934	tBOOH_2mM
8/28/23	yH181	0.5 mM	tBOOH	0.2899543378995434	0.4088888888888889	1.4101837270341209	tBOOH_0.5 mM
8/28/23	yH181	1 mM	tBOOH	0.2968036529680365	0.12444444444444444	0.4192820512820513	tBOOH_1 mM
8/28/23	yH181	1.5 mM	tBOOH	0.025799086757990867	0.018222222222222223	0.7063126843657818	tBOOH_1.5 mM
8/28/23	yH181	2mM	tBOOH	0.027853881278538814	0.006222222222222222	0.22338797814207648	tBOOH_2mM
8/30/23	yH181	1.5 mM	tBOOH	0.33268858800773693	0.1579925650557621	0.4748962565920291	tBOOH_1.5 mM
8/30/23	yH181	2mM	tBOOH	0.09535783365570599	0.0637546468401487	0.668583213313527	tBOOH_2mM
8/31/23	yH181	1.5 mM	tBOOH	0.2835249042145594	0.196875	0.6943834459459459	tBOOH_1.5 mM
8/31/23	yH181	2mM	tBOOH	0.0743295019157088	0.0675	0.908118556701031	tBOOH_2mM
9/2/23	yH181	300 mM	MSB	0.06673596673596674	0.08597560975609755	1.288294962388876	MSB_300 mM
9/2/23	yH181	350 mM	MSB	0.02286902286902287	0.038008130081300814	1.661991869918699	MSB_350 mM
9/2/23	yH181	400 mM	MSB	0.008731808731808732	0.020934959349593496	2.3975512969415407	MSB_400 mM
9/3/23	yH181	300 mM	MSB	0.056769596199524944	0.06510721247563353	1.146867633985009	MSB_300 mM
9/3/23	yH181	350 mM	MSB	0.035866983372921615	0.030019493177387915	0.8369673263364446	MSB_350 mM
9/3/23	yH181	400 mM	MSB	0.010213776722090262	0.015399610136452241	1.5077292714991612	MSB_400 mM
9/3/23	yH181	60 mM	H2O2	9.501187648456057e-4	0.028265107212475632	29.749025341130604	H2O2_60 mM
9/4/23	yH181	300 mM	MSB	0.11040723981900452	0.11690647482014388	1.058866021936549	MSB_300 mM
9/4/23	yH181	350 mM	MSB	0.04095022624434389	0.0841726618705036	2.055487102031082	MSB_350 mM
9/4/23	yH181	400 mM	MSB	0.009276018099547511	0.026258992805755395	2.8308475171082645	MSB_400 mM
9/4/23	yH181	60 mM	H2O2	0.0058823529411764705	0.16942446043165468	28.802158273381295	H2O2_60 mM
9/5/23	yH181	300 mM	MSB	0.10361111111111111	0.09795918367346938	0.9454505662854954	MSB_300 mM
9/5/23	yH181	350 mM	MSB	0.06777777777777778	0.061224489795918366	0.903312144529943	MSB_350 mM
9/5/23	yH181	400 mM	MSB	0.023055555555555555	0.030903790087463558	1.3404053531911906	MSB_400 mM
9/5/23	yH181	60 mM	H2O2	0.01361111111111111	0.11370262390670553	8.353662164574285	H2O2_60 mM
9/6/23	yH181	300 mM	MSB	0.08360360360360361	0.1264864864864865	1.5129310344827587	MSB_300 mM
9/6/23	yH181	350 mM	MSB	0.047207207207207204	0.09378378378378378	1.9866412213740459	MSB_350 mM
9/6/23	yH181	400 mM	MSB	0.01891891891891892	0.0645945945945946	3.4142857142857146	MSB_400 mM
9/6/23	yH181	60 mM	H2O2	0.03855855855855856	0.21864864864864864	5.670560747663551	H2O2_60 mM
9/8/23	yH181	300 mM	MSB	0.09948849104859335	0.14520958083832336	1.4595615966011422	MSB_300 mM
9/8/23	yH181	350 mM	MSB	0.05217391304347826	0.09700598802395209	1.8592814371257484	MSB_350 mM
9/8/23	yH181	400 mM	MSB	0.019437340153452685	0.05748502994011976	2.9574535140245826	MSB_400 mM
9/8/23	yH181	60 mM	H2O2	0.023017902813299233	0.21646706586826348	9.404291417165668	H2O2_60 mM
